ablation,T,seed,precision1,hitk,mrr
hybrid_full,10000,1,0.6555555555555556,0.7666666666666667,0.7
no_semantic,10000,1,0.0,0.0,0.0
no_lexical,10000,1,0.6444444444444445,0.7444444444444445,0.6833333333333333
no_tag,10000,1,0.24444444444444444,0.4666666666666667,0.30317460317460315
no_expand,10000,1,0.6111111111111112,0.7222222222222222,0.6555555555555556
no_type_fit,10000,1,0.6444444444444445,0.7444444444444445,0.6861111111111111
semantic_only,10000,1,0.15555555555555556,0.36666666666666664,0.2105820105820106
hybrid_full,10000,2,0.5444444444444444,0.6666666666666666,0.5958333333333333
no_semantic,10000,2,0.0,0.0,0.0
no_lexical,10000,2,0.5444444444444444,0.6666666666666666,0.5958333333333333
no_tag,10000,2,0.25555555555555554,0.4222222222222222,0.30722222222222223
no_expand,10000,2,0.5444444444444444,0.6444444444444445,0.5847222222222223
no_type_fit,10000,2,0.5111111111111111,0.6444444444444445,0.5712962962962963
semantic_only,10000,2,0.12222222222222222,0.3,0.16898148148148148
hybrid_full,10000,3,0.6444444444444445,0.7333333333333333,0.6824074074074074
no_semantic,10000,3,0.0,0.0,0.0
no_lexical,10000,3,0.6333333333333333,0.7222222222222222,0.6712962962962963
no_tag,10000,3,0.28888888888888886,0.5222222222222223,0.35673280423280423
no_expand,10000,3,0.6,0.6888888888888889,0.637962962962963
no_type_fit,10000,3,0.6111111111111112,0.7222222222222222,0.6611111111111111
semantic_only,10000,3,0.17777777777777778,0.4222222222222222,0.25395502645502643
hybrid_full,10000,4,0.6444444444444445,0.7444444444444445,0.680952380952381
no_semantic,10000,4,0.0,0.0,0.0
no_lexical,10000,4,0.6444444444444445,0.7444444444444445,0.680952380952381
no_tag,10000,4,0.25555555555555554,0.5333333333333333,0.3341798941798942
no_expand,10000,4,0.6444444444444445,0.7444444444444445,0.680952380952381
no_type_fit,10000,4,0.6333333333333333,0.7444444444444445,0.6726190476190476
semantic_only,10000,4,0.18888888888888888,0.5,0.2716798941798942
hybrid_full,10000,5,0.6222222222222222,0.7777777777777778,0.6786111111111112
no_semantic,10000,5,0.0,0.0,0.0
no_lexical,10000,5,0.6,0.7555555555555555,0.6563888888888889
no_tag,10000,5,0.25555555555555554,0.5111111111111111,0.3266931216931217
no_expand,10000,5,0.6,0.7555555555555555,0.6563888888888889
no_type_fit,10000,5,0.6111111111111112,0.7666666666666667,0.6674074074074074
semantic_only,10000,5,0.16666666666666666,0.4222222222222222,0.23687830687830688
