k,T,seed,hitk,precision1
1,10000,1,0.6555555555555556,0.6555555555555556
2,10000,1,0.7222222222222222,0.6555555555555556
4,10000,1,0.7555555555555555,0.6555555555555556
8,10000,1,0.7666666666666667,0.6555555555555556
16,10000,1,0.8444444444444444,0.6555555555555556
1,10000,2,0.5444444444444444,0.5444444444444444
2,10000,2,0.6222222222222222,0.5444444444444444
4,10000,2,0.6555555555555556,0.5444444444444444
8,10000,2,0.6666666666666666,0.5444444444444444
16,10000,2,0.7222222222222222,0.5444444444444444
1,10000,3,0.6444444444444445,0.6444444444444445
2,10000,3,0.7,0.6444444444444445
4,10000,3,0.7333333333333333,0.6444444444444445
8,10000,3,0.7333333333333333,0.6444444444444445
16,10000,3,0.7777777777777778,0.6444444444444445
1,10000,4,0.6444444444444445,0.6444444444444445
2,10000,4,0.7,0.6444444444444445
4,10000,4,0.7111111111111111,0.6444444444444445
8,10000,4,0.7444444444444445,0.6444444444444445
16,10000,4,0.8,0.6444444444444445
1,10000,5,0.6222222222222222,0.6222222222222222
2,10000,5,0.6888888888888889,0.6222222222222222
4,10000,5,0.7444444444444445,0.6222222222222222
8,10000,5,0.7777777777777778,0.6222222222222222
16,10000,5,0.8,0.6222222222222222
