system,T,n,ctx_tokens_mean,ctx_tokens_lo,ctx_tokens_hi,success_mean,success_lo,success_hi,hit1_mean,hit1_lo,hit1_hi,rr_mean,rr_lo,rr_hi,latency_ms_mean,latency_ms_lo,latency_ms_hi,cost_usd_mean,cost_usd_lo,cost_usd_hi
MCP,300,450,21118.8,21114.69738888889,21122.748944444444,0.98,0.9666666666666667,0.9911111111111112,0.5511111111111111,0.5066666666666667,0.5955555555555555,0.6973835978835979,0.6658517857142857,0.7283387566137566,1.8860088885735928,1.8514127884385139,1.9225398224823744,0.15839100000000003,0.1583602304166667,0.15842061708333335
MCP,1000,450,69863.0,69856.93077777779,69868.56455555555,0.2288888888888889,0.18888888888888888,0.2688888888888889,0.12666666666666668,0.09777777777777778,0.16,0.16678571428571426,0.1354355158730159,0.19921263227513222,2.73573755567971,2.684189817349155,2.7884643164506997,0.5239725,0.5239269808333333,0.5240142341666667
MCP,3000,450,210707.8,210698.7218888889,210717.127,0.15555555555555556,0.12661111111111112,0.18888888888888888,0.08888888888888889,0.06222222222222222,0.11555555555555555,0.11247089947089947,0.08621150793650793,0.13895304232804234,3.074634888713869,3.007729638911971,3.149327343878718,1.5803085000000003,1.5802404141666668,1.5803784525000004
MCP,10000,450,706640.4,706622.2346666667,706659.8127777778,0.03333333333333333,0.017777777777777778,0.051111111111111114,0.013333333333333334,0.0044444444444444444,0.024444444444444446,0.018333333333333333,0.008796296296296295,0.030282407407407383,3.8697928890986883,3.711544038766685,4.048696249904525,5.299803000000001,5.299666760000001,5.299948595833335
MCP,30000,450,2124846.4,2124809.2042777776,2124883.0698888893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.103017777482617,2.9967933496373007,3.2079733498006435,15.936348000000002,15.936069032083335,15.936623024166668
MCP,100000,450,7088086.4,7088020.790833333,7088150.609444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4832491111269013,3.3955721274154107,3.5822722444200834,53.16064800000001,53.16015593125001,53.16112957083334
SYNAPSE,300,450,939.7711111111112,930.618388888889,948.9757777777777,0.8666666666666667,0.8355555555555556,0.8977777777777778,0.7866666666666666,0.7510555555555555,0.8244444444444444,0.8248148148148149,0.7940740740740742,0.8563055555555555,1.3675002224044874,1.3338719445326002,1.4033429331619927,0.007048283333333334,0.006979637916666667,0.007117318333333333
SYNAPSE,1000,450,946.8,938.055111111111,955.4537777777779,0.8866666666666667,0.8577777777777778,0.9155555555555556,0.7688888888888888,0.7311111111111112,0.8088888888888889,0.818037037037037,0.7861083333333333,0.8501916666666667,1.9446206665209804,1.8908535776160231,1.9957544833515484,0.0071010000000000005,0.007035413333333334,0.0071659033333333335
SYNAPSE,3000,450,954.7177777777778,946.1398888888889,962.6666666666666,0.8555555555555555,0.8222222222222222,0.8888888888888888,0.72,0.6799444444444445,0.7622222222222222,0.7686402116402116,0.733193783068783,0.8048633597883599,4.149646889127325,4.0047832053379455,4.282114139210736,0.007160383333333334,0.0070960491666666676,0.007220000000000002
SYNAPSE,10000,450,966.9488888888889,959.9062222222221,973.2513333333333,0.7311111111111112,0.6911111111111111,0.7733333333333333,0.6177777777777778,0.5755555555555556,0.6644444444444444,0.662005291005291,0.6230964947089948,0.7048025793650794,11.598790444711792,11.046544577856062,12.16383832797227,0.007252116666666667,0.007199296666666667,0.007299385
SYNAPSE,30000,450,969.9933333333333,963.7080555555556,975.8603333333333,0.6711111111111111,0.6288888888888889,0.7133888888888886,0.5866666666666667,0.5422222222222223,0.6333333333333333,0.6168597883597883,0.5754284391534391,0.6604109126984126,26.05398022165496,24.40174366071733,27.700462694089058,0.007274950000000001,0.007227810416666668,0.007318952500000001
SYNAPSE,100000,450,970.98,964.7307222222222,976.6267777777778,0.64,0.5955555555555555,0.6844999999999997,0.5511111111111111,0.5044444444444445,0.5977777777777777,0.5800793650793651,0.5374892195767196,0.6240070767195766,87.8617700001794,82.93655549457213,92.6316796169841,0.007282350000000001,0.007235480416666668,0.007324700833333334
