T,has_tag,n,success_mean,success_lo,success_hi
300,1,336,0.9166666666666666,0.8869047619047619,0.9434523809523809
300,0,114,0.7192982456140351,0.6403508771929824,0.7982456140350878
1000,1,336,0.9315476190476191,0.9017857142857143,0.9553571428571429
1000,0,114,0.7543859649122807,0.6708333333333333,0.8333333333333334
3000,1,336,0.9434523809523809,0.9166666666666666,0.9672619047619048
3000,0,114,0.5964912280701754,0.5087719298245614,0.6842105263157895
10000,1,336,0.9226190476190477,0.8928571428571429,0.9494047619047619
10000,0,114,0.16666666666666666,0.10065789473684211,0.23684210526315788
30000,1,336,0.8958333333333334,0.8630952380952381,0.9285714285714286
30000,0,114,0.008771929824561403,0.0,0.02631578947368421
100000,1,336,0.8571428571428571,0.8184523809523809,0.8928571428571429
100000,0,114,0.0,0.0,0.0
