system,T,seed,task,variant,has_tag,ctx_tokens,success,hit1,rr,latency_ms,cost_usd
SYNAPSE,300,1,task_000::clean,clean,1,994,1.0,1.0,1.0,3.197200014255941,0.007455000000000001
MCP,300,1,task_000::clean,clean,1,21070,1.0,1.0,1.0,2.06830000388436,0.15802500000000003
SYNAPSE,300,1,task_000::perturbed_0,perturbed_0,0,996,1.0,1.0,1.0,1.436000005924143,0.007470000000000001
MCP,300,1,task_000::perturbed_0,perturbed_0,0,21070,1.0,0.0,0.5,2.124899998307228,0.15802500000000003
SYNAPSE,300,1,task_000::perturbed_1,perturbed_1,0,992,1.0,1.0,1.0,1.5307000139728189,0.00744
MCP,300,1,task_000::perturbed_1,perturbed_1,0,21070,1.0,0.0,0.3333333333333333,2.1821999980602413,0.15802500000000003
SYNAPSE,300,1,task_001::clean,clean,1,978,1.0,1.0,1.0,1.3220000109868124,0.007335
MCP,300,1,task_001::clean,clean,1,21070,1.0,1.0,1.0,2.0600999996531755,0.15802500000000003
SYNAPSE,300,1,task_001::perturbed_0,perturbed_0,1,978,1.0,1.0,1.0,1.432399993063882,0.007335
MCP,300,1,task_001::perturbed_0,perturbed_0,1,21070,1.0,1.0,1.0,1.8323999975109473,0.15802500000000003
SYNAPSE,300,1,task_001::perturbed_1,perturbed_1,0,983,1.0,0.0,0.5,1.2245999969309196,0.007372500000000001
MCP,300,1,task_001::perturbed_1,perturbed_1,0,21070,1.0,0.0,0.25,1.604399993084371,0.15802500000000003
SYNAPSE,300,1,task_002::clean,clean,1,974,1.0,1.0,1.0,1.189999995403923,0.007305000000000001
MCP,300,1,task_002::clean,clean,1,21070,1.0,1.0,1.0,1.6076000028988346,0.15802500000000003
SYNAPSE,300,1,task_002::perturbed_0,perturbed_0,0,679,0.0,0.0,0.0,2.613700009533204,0.005092500000000001
MCP,300,1,task_002::perturbed_0,perturbed_0,0,21070,1.0,0.0,0.25,2.1739999938290566,0.15802500000000003
SYNAPSE,300,1,task_002::perturbed_1,perturbed_1,1,975,1.0,1.0,1.0,1.3121999945724383,0.0073125
MCP,300,1,task_002::perturbed_1,perturbed_1,1,21070,1.0,0.0,0.5,1.833599992096424,0.15802500000000003
SYNAPSE,300,1,task_003::clean,clean,1,956,1.0,1.0,1.0,1.260999997612089,0.00717
MCP,300,1,task_003::clean,clean,1,21070,1.0,1.0,1.0,1.6948999982560053,0.15802500000000003
SYNAPSE,300,1,task_003::perturbed_0,perturbed_0,1,956,1.0,1.0,1.0,1.099800007068552,0.00717
MCP,300,1,task_003::perturbed_0,perturbed_0,1,21070,1.0,1.0,1.0,1.8864000012399629,0.15802500000000003
SYNAPSE,300,1,task_003::perturbed_1,perturbed_1,1,956,1.0,1.0,1.0,1.3175000058254227,0.00717
MCP,300,1,task_003::perturbed_1,perturbed_1,1,21070,1.0,0.0,0.3333333333333333,1.9364000036148354,0.15802500000000003
SYNAPSE,300,1,task_004::clean,clean,1,963,1.0,1.0,1.0,3.138200001558289,0.007222500000000001
MCP,300,1,task_004::clean,clean,1,21070,1.0,1.0,1.0,3.028000006452203,0.15802500000000003
SYNAPSE,300,1,task_004::perturbed_0,perturbed_0,0,961,1.0,1.0,1.0,1.9256999948993325,0.0072075
MCP,300,1,task_004::perturbed_0,perturbed_0,0,21070,1.0,1.0,1.0,2.0904999983031303,0.15802500000000003
SYNAPSE,300,1,task_004::perturbed_1,perturbed_1,1,962,1.0,1.0,1.0,2.3967000015545636,0.007215000000000001
MCP,300,1,task_004::perturbed_1,perturbed_1,1,21070,1.0,0.0,0.25,2.2234000061871484,0.15802500000000003
SYNAPSE,300,1,task_005::clean,clean,1,992,1.0,1.0,1.0,1.859399999375455,0.00744
MCP,300,1,task_005::clean,clean,1,21070,1.0,1.0,1.0,3.0221000051824376,0.15802500000000003
SYNAPSE,300,1,task_005::perturbed_0,perturbed_0,1,992,1.0,1.0,1.0,1.5289000002667308,0.00744
MCP,300,1,task_005::perturbed_0,perturbed_0,1,21070,1.0,1.0,1.0,2.062799991108477,0.15802500000000003
SYNAPSE,300,1,task_005::perturbed_1,perturbed_1,1,992,1.0,1.0,1.0,1.8189999973401427,0.00744
MCP,300,1,task_005::perturbed_1,perturbed_1,1,21070,1.0,1.0,1.0,1.8707999988691881,0.15802500000000003
SYNAPSE,300,1,task_006::clean,clean,1,988,1.0,1.0,1.0,1.1668000079225749,0.007410000000000001
MCP,300,1,task_006::clean,clean,1,21070,1.0,1.0,1.0,2.476199995726347,0.15802500000000003
SYNAPSE,300,1,task_006::perturbed_0,perturbed_0,0,982,1.0,1.0,1.0,1.7365000094287097,0.007365000000000001
MCP,300,1,task_006::perturbed_0,perturbed_0,0,21070,1.0,1.0,1.0,2.047699992544949,0.15802500000000003
SYNAPSE,300,1,task_006::perturbed_1,perturbed_1,0,982,1.0,1.0,1.0,1.4264999917941168,0.007365000000000001
MCP,300,1,task_006::perturbed_1,perturbed_1,0,21070,1.0,1.0,1.0,2.1172999986447394,0.15802500000000003
SYNAPSE,300,1,task_007::clean,clean,1,968,1.0,1.0,1.0,1.3232999917818233,0.007260000000000001
MCP,300,1,task_007::clean,clean,1,21070,1.0,0.0,0.3333333333333333,1.804300001822412,0.15802500000000003
SYNAPSE,300,1,task_007::perturbed_0,perturbed_0,1,968,1.0,1.0,1.0,1.2051999947289005,0.007260000000000001
MCP,300,1,task_007::perturbed_0,perturbed_0,1,21070,1.0,0.0,0.3333333333333333,1.6770999936852604,0.15802500000000003
SYNAPSE,300,1,task_007::perturbed_1,perturbed_1,1,679,0.0,0.0,0.0,1.4267999940784648,0.005092500000000001
MCP,300,1,task_007::perturbed_1,perturbed_1,1,21070,0.0,0.0,0.0,1.799699995899573,0.15802500000000003
SYNAPSE,300,1,task_008::clean,clean,1,975,1.0,1.0,1.0,1.3830999960191548,0.0073125
MCP,300,1,task_008::clean,clean,1,21070,1.0,1.0,1.0,1.741599990054965,0.15802500000000003
SYNAPSE,300,1,task_008::perturbed_0,perturbed_0,1,976,1.0,1.0,1.0,1.2255999899934977,0.007320000000000001
MCP,300,1,task_008::perturbed_0,perturbed_0,1,21070,1.0,0.0,0.3333333333333333,1.710800002911128,0.15802500000000003
SYNAPSE,300,1,task_008::perturbed_1,perturbed_1,1,976,1.0,1.0,1.0,1.3229000032879412,0.007320000000000001
MCP,300,1,task_008::perturbed_1,perturbed_1,1,21070,1.0,0.0,0.3333333333333333,1.7399000062141567,0.15802500000000003
SYNAPSE,300,1,task_009::clean,clean,1,969,1.0,1.0,1.0,1.265399987460114,0.0072675000000000005
MCP,300,1,task_009::clean,clean,1,21070,1.0,1.0,1.0,1.66529999114573,0.15802500000000003
