system,metric,logT_slope,logT_flat,logT_r2,linT_slope,linT_ci_lo,linT_ci_hi,linT_p,linT_r2,linT_flat
SYNAPSE,ctx_tokens,13.536077128552648,False,0.9388598792422738,0.00022436594857647512,-0.0001263114219638178,0.0005750433191167681,0.15031545284536793,0.44099422055698045,True
SYNAPSE,success,-0.10831079274395715,False,0.887327259227914,-2.2151411625095837e-06,-4.54896085646809e-06,1.1867853144892319e-07,0.057866728556766216,0.6345225128194254,True
SYNAPSE,hit1,-0.10395360294580726,False,0.9593645800043572,-1.9754756596861855e-06,-4.2506668463005764e-06,2.9971552692820545e-07,0.07349918532259593,0.5923137574462518,True
SYNAPSE,rr,-0.11001535878979192,False,0.9509062752824201,-2.1484762712832887e-06,-4.483438474694695e-06,1.8648593212811716e-07,0.06299080272832591,0.6200062447472632,True
SYNAPSE,latency_ms,29.219497266397006,False,0.6713133379716051,0.0008621734894969249,0.0008293245118761085,0.0008950224671177413,2.1249985364655245e-07,0.9992473220612659,False
SYNAPSE,cost_usd,0.00010152057846414505,False,0.938859879242274,1.6827446143235655e-09,-9.47335664728637e-10,4.312824893375768e-09,0.15031545284536818,0.44099422055698,True
MCP,ctx_tokens,2394941.0383322057,False,0.667549656688814,70.8926296823139,70.86429038826448,70.92096897636331,2.5783780166575027e-15,0.9999999170803128,False
MCP,success,-0.325890918775158,True,0.6573970081187283,-4.283164283164283e-06,-1.6397376493351885e-05,7.831047927023319e-06,0.3818495837728337,0.19414067567972904,True
MCP,hit1,-0.18332846511205284,True,0.6545489925060187,-2.396257133099238e-06,-9.238376924046749e-06,4.445862657848273e-06,0.3859273987551396,0.19118466637153772,True
MCP,rr,-0.23298768589206245,False,0.6610344181846627,-3.0548222478047036e-06,-1.1690958130523902e-05,5.581313634914495e-06,0.3816549661213936,0.19428259371298076,True
MCP,latency_ms,0.5655119323709614,True,0.6097066950807276,7.437006171327818e-06,-1.4578177684965283e-05,2.945219002762092e-05,0.4013880102612342,0.18027585661418774,True
MCP,cost_usd,17.96205778749155,False,0.6675496566888143,0.0005316947226173543,0.0005314821779119837,0.0005319072673227249,2.5783780166575027e-15,0.9999999170803128,False
